"","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14","Cluster15","Cluster16","Cluster17","Cluster18","Cluster19","Cluster20","Cluster21","Cluster22","Cluster23","Cluster24","Cluster25","Cluster26","Cluster27","Cluster28","Cluster29","Cluster30","Cluster31","Cluster32","Cluster33","Cluster34","Cluster35","Cluster36","Cluster37","Cluster38"
"StdErr_for_unit_prop_S100beta_Coverage_Area",0.0124805154959198,0.0130439525362322,0.0296056124477417,0.0139536409605022,0.0233581436234641,0.0240195730402804,0.0117669993441289,0.0251137571252026,0.0473615469618288,0.0149081906312948,0.0213905176488148,0.0102711242797232,0.0245607426652865,0.026599523065322,0.0271604965837555,0.0502387967590155,0.0319143589459194,0.0100683830300376,0.0403768524998236,0.0106010909474003,0.0290727792854012,0.0152336714313696,0.0159214614213134,0.0091527484275317,0.0398342908352614,0.0188690151316146,0.030524393637814,0.018667528418285,0.0173089745760502,0.013493774985455,0.0585673427944379,0.032252961623366,0.0244687615542325,0.0989786533462323,0.036063206090002,0.0171828573070649,0.0282265211241878,0.0306802003553515
"StdErr_for_unit_prop_AT8_Coverage_Area",0.00316753031619314,0.00322925775660639,0.00793151326878193,0.0037890789786633,0.00635456300215552,0.00901388486420334,0.00541896778050063,0.00823055979279728,0.0127341213595001,0.00298593482509872,0.00448511447308146,0.00287250169847558,0.00508164590256286,0.00716793374332564,0.00676534883364255,0.0119512158689799,0.00777852943284776,0.00287486673202749,0.0100016214818177,0.00318754232971618,0.00381291000135131,0.0056206470962597,0.00382271745699942,0.003163789514791,0.00738770051570028,0.00646728528643419,0.00711832599215855,0.00564309548029735,0.00424628558421643,0.00353010156403422,0.012113583816799,0.00823734694290067,0.00581452777351398,0.024411657040016,0.00891201402240162,0.004972436861251,0.00697982948786676,0.00584041448806584
"pvalue_for_unit_Hippocampus_Vol_mm3",0.00542992004812267,0.569925754254467,0.0113254068520714,0.0176399037178487,0.0189215768265622,7.25465011152194e-05,1.73984484370002e-07,0.000838995333911252,0.0102910714585893,0.22923830523106,0.261786568291707,0.00421701351683176,0.117764647232608,0.00688030147631644,0.0045181155237647,0.875649662584099,0.371038028155983,0.00597284455490514,0.783119105671678,0.0713541333960999,0.15045345322828,2.53691469910131e-05,0.287950590003349,0.00131307145366802,0.0157793650310328,1.0284795401661e-05,0.311721445093192,0.000302006720576161,0.982972370263282,0.13989373047874,0.156622826169089,0.220541207103673,0.782582952933109,0.76819948281995,0.00245091502001767,0.305262447177597,0.364013696616293,0.0147622006835009
"pvalue_for_unit_prop_IBA1_Coverage_Area",5.02431355268935e-05,0.80593460732182,0.00676215938570286,1.01764859975715e-06,0.124729328118128,3.57468439509583e-09,4.85829690063882e-16,0.000236730624751952,0.000900007870366207,0.0513955551144113,0.110400250853782,0.000138362150720655,0.0305101383856844,0.0243442870606233,0.00425203399037489,0.15356881165066,0.831956070409843,0.000728348603069734,0.0944152363744211,0.144519907290982,0.964086510265303,1.96871507112364e-11,0.441455452811563,1.69549553181364e-07,0.552047463847443,4.43710924967947e-09,0.0182716512503009,3.77907941488522e-08,0.64818783854652,0.315067078170373,0.27927983427766,0.389890054874891,0.708891977371143,0.458987486090329,6.07174631386863e-11,0.087705864644103,0.57450883195682,0.0791311824348802
"pvalue_for_unit_prop_CD68_Coverage_Area",0.000798282193875412,0.590819104938823,0.0207121644469092,2.88392083421352e-05,0.0111067011270768,3.01035995568047e-12,8.73043535351849e-17,1.89972745554937e-05,0.00603788417609778,0.000594179608907625,0.00423962260509599,7.48510200544187e-11,0.562451245640177,0.00647278578273745,1.17835898735206e-06,0.12210014735054,0.340521798049611,0.00466062003248667,0.977777517207081,0.19105583703094,0.294222092102173,5.45587028319215e-09,0.811102468412021,0.000105937387331266,0.0946605765157807,9.8171367860273e-11,0.175221216788774,2.79264176013887e-06,0.144784666130678,0.362935225080945,0.048359514365473,0.119514346871741,0.894053749795144,0.988423517824826,0.00354734037676238,0.00302550186391878,0.445351748305733,0.62226733197761
"pvalue_for_unit_prop_GFAP_Quant_Coverage_Area",2.82802033747361e-05,0.917874009700339,0.00828698856666784,0.0348748389157038,0.611203319916622,0.00523842523169987,0.000986122357917186,0.284466903128448,0.00111353555279862,0.868643578115512,0.601633594626936,0.400169655899513,1.2559838086411e-06,0.135736430890495,0.4637526492844,0.786350883207341,0.629010805834307,0.225425516125411,0.0272838684383312,0.0105430029061476,0.632533916756613,0.00458848743036281,0.000937950412396485,0.00682335783778241,0.870997311939283,0.000516971028819441,0.00740429625376181,4.43262378443162e-05,0.186686059805282,0.158311694859718,0.787283063605607,0.511393378727827,0.602223794388809,0.604703118036965,0.0141283683329592,0.541508234982958,0.221419945168207,0.00277176231860188
"pvalue_for_unit_prop_S100beta_Coverage_Area",7.0051064025364e-06,0.769257455374682,0.00196692938389305,3.9661357439275e-05,0.0739376034977125,2.10034220222206e-09,5.32398121628714e-16,0.000383631069575526,0.000190043120251242,0.137893327702683,0.236806528594967,0.000746329118922762,0.00721977911628576,0.0206216119732228,0.00607226179401612,0.394550855809737,0.811891957444258,0.00230463935963335,0.0584309009589956,0.0191655611149197,0.513778364767052,1.59826727830856e-10,0.159722094588993,3.07642941219415e-07,0.313885621588765,2.99165659965085e-10,0.0194101063555516,8.13360054544527e-10,0.923917545941443,0.141986799927503,0.334754836196007,0.233826324864663,0.781136499859652,0.632205589546218,0.00131040578942831,0.205396939486206,0.922699782113095,0.0506540169508754
"pvalue_for_unit_prop_AT8_Coverage_Area",3.22103106643709e-05,0.963336193814884,0.0156576059050092,0.000894066862968305,0.971038451243505,0.0140690937322476,0.00614170539517657,0.822635807175381,0.0020786644439904,0.93750832235883,0.519360460617804,0.509965917902098,7.37194153521827e-05,0.18011519842737,0.866870649069867,0.115550176446078,0.538719123307603,0.13490259847752,0.0108287853345504,0.908474526365865,0.035155828770117,0.0061898813481915,0.0974222613050427,0.0320496358251681,0.279390722405609,0.00462900779941903,0.00276852797510041,0.000553069524926586,0.656199740838917,0.474431622875229,0.955835876213762,0.903819916726159,0.0458038041175719,0.266359810045141,0.0535698342732844,0.86289531299745,0.212264237825065,0.00929853331136056
"p.adjust_for_unit_Hippocampus_Vol_mm3",0.0171947468190551,0.706212347663144,0.0286910306919142,0.0418947713298906,0.0440216277189406,0.000480229334294219,2.20380346868669e-06,0.00398522783607845,0.0272833057274228,0.350780762366991,0.392679852437561,0.0146888446940223,0.216534996524473,0.0193667745259278,0.0151803052486709,0.932935154528853,0.506566888739906,0.0183284798362034,0.879904600500384,0.141467325341833,0.254099165452206,0.000214228352368555,0.418170283571743,0.00544327802611471,0.0378704760744788,9.37973340631485e-05,0.443427739647192,0.00172143830728412,0.987302645022151,0.243479164497349,0.260656966179214,0.343426853730281,0.879904600500384,0.879904600500384,0.0094713326197293,0.437734829915045,0.499970619448884,0.0361912016756795
"p.adjust_for_unit_prop_IBA1_Coverage_Area",0.000347134390913082,0.894257808199472,0.0193667745259278,1.16011940372315e-05,0.223923518196325,6.26944647755269e-08,4.04622572437822e-14,0.00138396365239602,0.0041040358888699,0.104626665768623,0.206321780284117,0.0008526100098462,0.0662505862089146,0.0538883247555546,0.0146888446940223,0.257453596002577,0.907588440447101,0.00369029958888665,0.179855095379983,0.246350028938766,0.981302340805755,8.97734072432379e-10,0.588607270415417,2.20380346868669e-06,0.691575943720973,7.22614934947799e-08,0.0429477988151404,5.38518816621143e-07,0.757881165069778,0.443427739647192,0.410974740054702,0.529136503044495,0.820443506805181,0.60490836317107,2.30726359927008e-09,0.169465568973352,0.708043317222459,0.154204355514125
"p.adjust_for_unit_prop_CD68_Coverage_Area",0.00387251787667221,0.724229870570171,0.0462977793519146,0.000226735844896787,0.0284531219884665,1.71590517473787e-10,1.99053926060222e-14,0.00016659148456356,0.0183284798362034,0.00307893070070315,0.0146888446940223,2.43800465320107e-09,0.700758928994319,0.0189204507495402,1.27936118626795e-05,0.220943123777167,0.473408353386044,0.0151803052486709,0.986430415589444,0.304620495405974,0.424573651894275,8.29292283045207e-08,0.894257808199472,0.000670936786431351,0.179855095379983,2.79788398401778e-09,0.285360267341718,2.76835791874636e-05,0.246350028938766,0.499970619448884,0.100236084321162,0.217994168694056,0.948112813736246,0.988423517824826,0.0128379937444734,0.0111260391124755,0.590349991940158,0.742811265397356
"p.adjust_for_unit_prop_GFAP_Quant_Coverage_Area",0.000226735844896787,0.957514547612041,0.0224932546809556,0.0742178607369136,0.733443983899946,0.0168219852510925,0.00432376726163689,0.415759319956962,0.00479030388751106,0.932335150808246,0.729483126520783,0.536698126735817,1.30165594713714e-05,0.239906249945991,0.607675885269214,0.879904600500384,0.74339037639437,0.347277146463471,0.0598146346532646,0.0276299386505938,0.74339037639437,0.0151803052486709,0.00419319007894899,0.0193667745259278,0.932335150808246,0.00280641415644839,0.0203395126006951,0.000315824444640753,0.299749448138058,0.261558452376925,0.879904600500384,0.658098130151055,0.729483126520783,0.729483126520783,0.0350137823903773,0.682120870586268,0.343426853730281,0.0103600296498562
"p.adjust_for_unit_prop_S100beta_Coverage_Area",6.65485108240958e-05,0.879904600500384,0.00800821249156456,0.000291702886972733,0.145325634461021,3.99065018422192e-08,4.04622572437822e-14,0.00213336302105415,0.00114025872150745,0.241843682432397,0.357562175626838,0.00369919650248673,0.0200745077867458,0.0462977793519146,0.0183284798362034,0.532293462275858,0.894257808199472,0.00905961679304146,0.116861801917991,0.0441388680222394,0.658098130151055,4.04894377171502e-09,0.261990198318636,3.69171529463299e-06,0.443427739647192,6.82097704720393e-09,0.0442550424906576,1.68587356760138e-08,0.957514547612041,0.245249927147505,0.468246028544107,0.355416013794288,0.879904600500384,0.74339037639437,0.00544327802611471,0.32521182085316,0.957514547612041,0.104046088872068
"p.adjust_for_unit_prop_AT8_Coverage_Area",0.000244798361049219,0.981302340805755,0.0378704760744788,0.0041040358888699,0.983985630593419,0.0350137823903773,0.0183284798362034,0.901735404019168,0.00831465777596161,0.967203156098702,0.661531759893069,0.658098130151055,0.000480229334294219,0.291250108095322,0.932335150808246,0.214190570973217,0.682120870586268,0.239906249945991,0.0280563983667896,0.954526230467361,0.0742178607369136,0.0183284798362034,0.183572525434295,0.068936952529607,0.410974740054702,0.0151803052486709,0.0103600296498562,0.00293255469030841,0.763334392404455,0.618116628660299,0.981302340805755,0.954032134322057,0.0958097920991412,0.396928344380994,0.108087807206273,0.932335150808246,0.333767215338723,0.0249419481763554
